term_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,term_str
0,-0.014612330032755794,-0.014728734850663767,0.017501733832616658,-0.008795813892532357,-0.01355906442391984,0.021267085390106053,-0.011545537127817761,-0.009846077116389892,-0.007993196988719973,0.006668445037424979,
1,-0.01231174012030764,-0.0084942982711875,-0.0047760268498733965,-0.010851368529387277,0.01934938775944079,-0.008393299432196993,0.007527529449985325,-0.005972361896878622,-0.006846192848920941,-0.008789213467943723,a
2,-0.002483565425646095,-0.001291518371570488,0.003262864464127019,-0.001559704955085811,0.0009959629297911776,0.0024295566500323607,0.0270731902028684,0.0066050662591167555,-0.0041633809865778484,-0.004677718247830705,abash
3,-0.0012723473171443178,-0.001570771258220971,0.006657035506228592,0.0003043681376196927,0.005017735037440851,0.006722344641912431,0.0017357879359706646,-0.005506587546398295,-0.0031054990804348648,-0.01386422131402762,abasheth
4,-0.0017997837312383747,0.0005109360351077674,-0.007564368712691061,-0.009938313502576457,0.002115512340591985,-0.009262793458985036,0.02279263977321226,-0.02296026488140758,0.0036092407735705268,-0.004488327794570313,abashless
5,-0.0004251071813957119,-0.0003388018073939847,-0.0034025675793867838,0.0034629002199315743,0.008930520415487,-0.006160655978463388,0.005145804464920127,0.0025217258214170687,0.0005429533906889869,0.003725336368358048,abbey
6,-0.001569941374198025,-0.0009517305566584255,-0.00536513579699438,-0.01581144496295618,0.007394586780105655,0.01808344287661731,-0.003041988389386213,0.0004243414927542974,0.016718827995277998,0.005232863359472222,abducted
7,-0.0005260918671035897,-0.001181844070754945,0.0019185173408639011,-0.0033452228918571907,0.005873279919334853,-0.008409444245406239,-0.003041864423389107,0.007380560865807642,-0.0016834618439400192,-0.006680999339667648,abhorred
8,-0.002035482768752331,-0.0008928311949614187,-0.008208189036540359,-0.014918185131490153,0.004440843009952067,0.003434451612155498,0.003852435496439016,0.003952994815961855,-0.001296491006566966,-0.009199910804021154,abide
9,0.00018923868238768758,4.1170535408753886e-05,-0.013115080164155274,0.0044401912943025645,0.004846100607206971,-0.010859986076827255,-0.020833166824240607,-0.00422812727470715,0.005503677503898938,0.003277106675695498,abides
10,0.004956336527165575,-0.0037766288340535165,0.00952982389632076,-0.006682741532966496,0.01838456900472485,0.0024975232092212347,0.0010797437802346765,-0.003650432255764169,-0.010174377986462813,-0.003594374407717274,abode
11,-0.004977039985627112,-0.0038301004372749935,-0.00793813611203182,-0.013211262199659235,-0.01547434449370777,0.0015049921344097716,0.02321919138340575,-0.017240708456173925,-0.003763576228978105,-0.014838681244899288,about
