series_num,poem_num,stanza_num,line_num,token_num,pos_tuple,pos,token_str,term_str,term_id,tfidf
1,2,1,0,13,"('blank', 'NN')",NN,blank,blank,472,0.00710324486072769
1,2,1,0,14,"('in', 'IN')",IN,in,in,2309,0.00710324486072769
1,2,1,0,15,"('bliss', 'NN')",NN,bliss,bliss,489,0.00710324486072769
1,2,1,0,16,"('to', 'TO')",TO,to,to,4615,0.00710324486072769
1,2,1,0,17,"('fill', 'VB')",VB,fill,fill,1720,0.00710324486072769
1,2,1,0,19,"('Our', 'PRP$')",PRP$,Our,our,3090,0.00710324486072769
1,2,1,0,20,"('blank', 'NN')",NN,blank,blank,472,0.00710324486072769
1,2,1,0,21,"('in', 'IN')",IN,in,in,2309,0.00710324486072769
1,2,1,0,22,"('scorning', 'VBG')",VBG,scorning,scorning,3839,0.00710324486072769
1,2,2,0,0,"('Here', 'RB')",RB,Here,here,2165,0.0
1,2,2,0,1,"('a', 'DT')",DT,a,a,1,0.0
1,2,2,0,2,"('star', 'NN')",NN,star,star,4215,0.0
1,2,2,0,4,"('and', 'CC')",CC,and,and,146,0.0
1,2,2,0,5,"('there', 'RB')",RB,there,there,4528,0.0
1,2,2,0,6,"('a', 'DT')",DT,a,a,1,0.0
1,2,2,0,7,"('star', 'NN')",NN,star,star,4215,0.0
1,2,2,0,9,"('Some', 'DT')",DT,Some,some,4106,0.0
1,2,2,0,10,"('lose', 'VBP')",VBP,lose,lose,2665,0.0
1,2,2,0,11,"('their', 'PRP$')",PRP$,their,their,4522,0.0
1,2,2,0,12,"('way', 'NN')",NN,way,way,4943,0.0
1,2,2,1,0,"('Here', 'RB')",RB,Here,here,2165,0.0
1,2,2,1,1,"('a', 'DT')",DT,a,a,1,0.0
1,2,2,1,2,"('mist', 'NN')",NN,mist,mist,2833,0.0
1,2,2,1,4,"('and', 'CC')",CC,and,and,146,0.0
1,2,2,1,5,"('there', 'RB')",RB,there,there,4528,0.0
1,2,2,1,6,"('a', 'DT')",DT,a,a,1,0.0
1,2,2,1,7,"('mist', 'NN')",NN,mist,mist,2833,0.0
1,2,2,1,9,"('Afterwards', 'NNP')",NNP,Afterwards,afterwards,83,0.0
1,2,2,1,10,"('—', 'NNP')",NNP,—,,0,0.0
1,2,2,1,11,"('day', 'NN')",NN,day,day,1132,0.0
1,3,1,0,0,"('Soul', 'NNP')",NNP,Soul,soul,4126,0.005381246106611886
1,3,1,0,2,"('wilt', 'VBD')",VBD,wilt,wilt,5023,0.005381246106611886
1,3,1,0,3,"('thou', 'JJ')",JJ,thou,thou,4553,0.005381246106611886
1,3,1,0,4,"('toss', 'NN')",NN,toss,toss,4642,0.005381246106611886
1,3,1,0,5,"('again', 'RB')",RB,again,again,84,0.005381246106611886
1,3,1,1,0,"('By', 'IN')",IN,By,by,670,0.005381246106611886
