series_num,poem_num,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,author,series,poems
1,1,-0.01113360362496697,-0.004616986395632827,-0.03170138119096998,-0.011375923408023462,0.03644841455019605,-0.031126811073121537,0.03128062075565957,-0.011007581164633068,-0.07056646315062703,0.04731879782327208,dickinson,Series #1,Poem #1
1,2,-0.014555398617104632,-0.01662288047943447,-0.02578766365036602,0.038830780845253036,-0.09475879781093183,-0.04919620502976892,-0.13758894186309578,0.09727374043708557,0.11571109065848445,0.08459412154657397,dickinson,Series #1,Poem #2
1,3,0.0018080639595209214,-0.012937241590806683,-0.030827771471254872,0.12340405787858992,0.019843226039369073,0.08447127620097038,-0.004697816439862411,0.0004316945427562097,-0.07299875935813592,-0.04889129339220263,dickinson,Series #1,Poem #3
1,4,-0.016405907620849258,-0.04541327462936832,0.11181530608305505,0.06731971504410575,0.10642549067432437,0.08786866943458856,-0.012998291327929587,0.09580333496912137,-0.025157820143461008,-0.1547573432076101,dickinson,Series #1,Poem #4
1,5,-0.026916620208776068,-0.011751843799427498,-0.011677766534161246,-0.020626244655116716,-0.026503781327350075,-0.017895239939190583,0.04611909601144562,0.014743777142110127,-0.05830828008287019,0.06739944335244007,dickinson,Series #1,Poem #5
1,6,-0.00041182171807278313,-0.022319346281437745,0.01957433372614381,0.12177636565887663,0.03823761814286879,-0.0686689819932666,0.004572111943671437,0.13122671010599085,0.12192170819845488,0.03616514140841983,dickinson,Series #1,Poem #6
1,7,-0.02499112749560442,-0.02118885507850192,0.055973251342671546,-0.00931095702476925,-0.07493628697610434,0.005020354884954137,0.02110487593146177,-0.06261052513814686,-0.01627300834537546,-0.015578837507337056,dickinson,Series #1,Poem #7
1,8,-0.0044892916968943715,-0.00921132091485254,-0.029476512510085606,0.06278854622285945,-0.00012974113881736738,-0.06336489900840467,-0.01408856283254602,0.012669798475479832,-0.07023199435892297,-0.09380810521677567,dickinson,Series #1,Poem #8
1,9,-0.015750869596393248,-0.02587697398738551,0.02500598534924203,0.110993827431303,-0.013411960019510907,-0.06254903521194684,0.05356542305685019,0.07544421577757847,0.006806215093240392,0.055326325547995325,dickinson,Series #1,Poem #9
1,10,-0.0216909523442607,-0.02134091487107729,0.032968198168802365,-0.05348778099649792,0.021398719000227422,-0.07275465356037317,0.004042749917624622,-0.034802915468651975,-0.05221922906848381,0.013906750019863886,dickinson,Series #1,Poem #10
