series_id,series_titles,series_file,author,series_name
1,Series #1 by Emily Dickinson,dickinson_full.txt,dickinson,Series #1
2,Series #2 by Emily Dickinson,dickinson_full.txt,dickinson,Series #2
3,Series #3 by Emily Dickinson,dickinson_full.txt,dickinson,Series #3
